index,label,fraction,target_time,snapshot_time,tau,snapshot,png,pdf
0,t020,,20.0,20.0,79.99,/tmp/fig4_snaps/c1032-in/snapshot-20.0000,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1032-in/panels/fig4_c1032-in_00_t020_t020p0000.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1032-in/panels/fig4_c1032-in_00_t020_t020p0000.pdf
1,t040,,40.0,40.0,59.989999999999995,/tmp/fig4_snaps/c1032-in/snapshot-40.0000,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1032-in/panels/fig4_c1032-in_01_t040_t040p0000.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1032-in/panels/fig4_c1032-in_01_t040_t040p0000.pdf
2,t050,,50.0,50.0,49.989999999999995,/tmp/fig4_snaps/c1032-in/snapshot-50.0000,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1032-in/panels/fig4_c1032-in_02_t050_t050p0000.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1032-in/panels/fig4_c1032-in_02_t050_t050p0000.pdf
3,t075,,75.0,75.0,24.99,/tmp/fig4_snaps/c1032-in/snapshot-75.0000,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1032-in/panels/fig4_c1032-in_03_t075_t075p0000.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1032-in/panels/fig4_c1032-in_03_t075_t075p0000.pdf
4,t100,,99.99,99.99,0.0,/tmp/fig4_snaps/c1032-in/snapshot-99.9900,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1032-in/panels/fig4_c1032-in_04_t100_t099p9900.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1032-in/panels/fig4_c1032-in_04_t100_t099p9900.pdf
