index,label,fraction,target_time,snapshot_time,tau,snapshot,png,pdf
0,f0p000,0.0,0.0,0.0,14.49957211361072,/Volumes/macOfficeV0/ElasticPinchOff/Hamilton-Newtonian-2026-06-27/simulationCases/c1024-in/intermediate/snapshot-0.0000,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1024-in/panels/fig4_c1024-in_00_f0p000_t000p0000.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1024-in/panels/fig4_c1024-in_00_f0p000_t000p0000.pdf
5,f0p950,0.95,13.774593507930183,13.77,0.72957211361072,/Volumes/macOfficeV0/ElasticPinchOff/Hamilton-Newtonian-2026-06-27/simulationCases/c1024-in/intermediate/snapshot-13.7700,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1024-in/panels/fig4_c1024-in_05_f0p950_t013p7700.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1024-in/panels/fig4_c1024-in_05_f0p950_t013p7700.pdf
6,f0p980,0.98,14.209580671338506,14.21,0.2895721136107188,/Volumes/macOfficeV0/ElasticPinchOff/Hamilton-Newtonian-2026-06-27/simulationCases/c1024-in/intermediate/snapshot-14.2100,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1024-in/panels/fig4_c1024-in_06_f0p980_t014p2100.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1024-in/panels/fig4_c1024-in_06_f0p980_t014p2100.pdf
7,t0_minus,,14.4995,14.4995,7.211361072023692e-05,/Volumes/macOfficeV0/ElasticPinchOff/Hamilton-Newtonian-2026-06-27/simulationCases/c1024-in/intermediate/snapshot-14.4995,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1024-in/panels/fig4_c1024-in_07_t0_minus_t014p4995.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1024-in/panels/fig4_c1024-in_07_t0_minus_t014p4995.pdf
8,t0_plus,,14.5496,14.5496,-0.05002788638928024,/Volumes/macOfficeV0/ElasticPinchOff/Hamilton-Newtonian-2026-06-27/simulationCases/c1024-in/intermediate/snapshot-14.5496,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1024-in/panels/fig4_c1024-in_08_t0_plus_t014p5496.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1024-in/panels/fig4_c1024-in_08_t0_plus_t014p5496.pdf
