index,label,fraction,target_time,snapshot_time,tau,snapshot,png,pdf
0,f0p000,0.0,0.0,0.0,4.5069,/tmp/fig4_snaps/c1030-out/snapshot-0.0000,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1030-out/panels/fig4_c1030-out_00_f0p000_t000p0000.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1030-out/panels/fig4_c1030-out_00_f0p000_t000p0000.pdf
5,f0p950,0.95,4.28,4.28,0.22689999999999966,/tmp/fig4_snaps/c1030-out/snapshot-4.2800,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1030-out/panels/fig4_c1030-out_05_f0p950_t004p2800.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1030-out/panels/fig4_c1030-out_05_f0p950_t004p2800.pdf
6,f0p980,0.98,4.42,4.42,0.08689999999999998,/tmp/fig4_snaps/c1030-out/snapshot-4.4200,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1030-out/panels/fig4_c1030-out_06_f0p980_t004p4200.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1030-out/panels/fig4_c1030-out_06_f0p980_t004p4200.pdf
7,t0_minus,,4.506,4.506,0.0008999999999996788,/tmp/fig4_snaps/c1030-out/snapshot-4.5060,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1030-out/panels/fig4_c1030-out_07_t0_minus_t004p5060.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1030-out/panels/fig4_c1030-out_07_t0_minus_t004p5060.pdf
8,t0_plus,,4.557,4.557,-0.05010000000000048,/tmp/fig4_snaps/c1030-out/snapshot-4.5570,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1030-out/panels/fig4_c1030-out_08_t0_plus_t004p5570.png,/Users/comphy-mac/cowork-os/0-WritingPapers/Soft-Matter-Singularities_paper/figures/fig4_drop_bubble/c1030-out/panels/fig4_c1030-out_08_t0_plus_t004p5570.pdf
